y,x1,x2,x3,x4,x5,x6,x7,x8,x9
312.107,-0.811,1.616,0,7.98,9.915,0.536,112.211,10,17.896
921.77,1.444,-3.027,0,7.265,12.858,2.032,120.517,4,20.123
834.781,-0.431,0.865,0,7.084,13.788,3.315,123.344,10,20.873
875.915,0.656,-1.283,0,7.386,12.487,3.015,107.915,11,19.873
420.924,0.322,-0.588,1,7.125,6.859,0.831,114.388,5,13.984
384.941,-0.784,1.469,0,7.582,9.945,1.088,114.343,5,17.526
595.64,1.576,-3.215,0,7.24,6.56,0.475,109.952,8,13.801
521.371,0.643,-1.192,0,7.722,7.981,0.7,107.009,4,15.703
350011.481,89.761,-188.932,0,7145.929,5882.248,34.874,113982.971,8000,13028.176
422.776,0.277,-0.516,0,7.153,6.563,0.519,118.589,2,13.716
611.666,0.679,-1.345,0,7.259,15.567,0.272,124.338,11,22.826
561.07,0.09,-0.18,0,7.778,8.967,2.018,100.636,4,16.744
-57.67,-2.993,5.982,0,7.426,9.779,0,109.083,11,17.205
1203.782,0.285,-0.574,0,7.06,18.918,3.572,111.82,8,25.978
705.341,-0.367,0.756,0,7.115,9.997,3.861,102.358,8,17.112
560.243,0.185,-0.368,0,7.483,8.538,1.834,108.746,3,16.021
804.155,0.582,-1.149,0,7.979,14.101,2.053,108.559,8,22.08
700.828,1.4,-2.822,0,7.812,8.771,1.377,108.942,10,16.582
264.471,-0.727,1.423,1,7.543,15.287,0.913,98.678,6,22.83
763.796,1.303,-2.805,1,7.072,9.805,0.667,115.494,10,16.877
523.358,0.336,-0.599,0,7.466,8.257,1.252,109.577,7,15.724
558.461,1.039,-2.184,0,7.34,6.64,0.729,124.643,8,13.98
711.821,0.921,-1.819,0,7.69,13.529,0.889,119.572,5,21.219
636.833,0.721,-1.472,0,7.514,16.473,0.553,103.825,6,23.987
325.52,-1.043,2.189,0,7.515,9.836,0.909,114.689,5,17.351
299.27,-0.09,0.188,1,7.546,12.133,0.031,109.844,11,19.679
649.716,0.624,-1.206,0,7.447,13.625,0.807,120.218,5,21.072
526.741,-0.954,2.056,0,7.084,17.943,1.024,114.371,6,25.027
349.668,-0.543,0.998,0,7.93,13.934,0.049,110.101,10,21.864
465.116,0.581,-1.212,1,7.016,6.679,0.37,117.069,6,13.696
578.156,0.768,-1.497,0,7.414,8.299,1.1,115.068,11,15.713
490916.766,463.768,-838.614,0,7226.976,7916.804,679.263,112847.677,3000,15143.78
135087.436,-885.776,1606.283,1000,7099.641,13539.565,73.688,128139.234,7000,20639.206
90.353,-1.1,2.227,1,7.483,11.012,0.918,110.294,6,18.495
835.152,1.513,-3.362,0,7.65,12.7,1.491,110.704,5,20.35
418.103,0.258,-0.523,0,7.921,7.605,0.395,103.178,7,15.526
473.085,0.088,-0.187,0,7.363,9.66,0.75,113.716,8,17.022
618.164,-0.121,0.252,0,7.855,15.589,1.022,120.232,4,23.444
287.431,-1.194,2.31,0,7.301,9.554,1.047,99.5,15,16.854
600.188,0.612,-1.282,1,7.466,8.287,1.536,112.25,12,15.753
411.01,-0.217,0.442,0,7.143,14.68,0.13,105.728,14,21.823
361.345,-0.183,0.369,1,7.808,12.476,0.425,124.094,5,20.284
721.101,0.933,-1.96,0,7.666,7.823,2.439,123.505,4,15.488
703.85,0.822,-1.705,0,7.062,19.59,0.429,116.342,5,26.652
761.488,1.392,-2.697,1,7.431,6.607,0.949,124.005,7,14.037
316.544,-0.476,0.971,0,7.397,3.104,2.478,107.929,8,10.501
392.419,0.65,-1.243,0,7.697,1.191,0.041,120.655,13,8.888
689.017,1.391,-2.87,0,7.659,13.853,0.388,109.905,9,21.512
307.373,-1.111,2.174,0,7.407,9.147,0.835,116.247,8,16.554
306.302,-0.861,1.761,0,7.307,9.957,0.355,111.904,4,17.264
340.812,-1.132,2.305,0,7.255,12.503,0.763,112.05,13,19.758
272.442,-1.459,2.879,0,7.673,9.584,0.91,117.823,7,17.256
269.655,0.08,-0.164,1,7.894,3.742,0.232,104.873,7,11.636
449.291,0.653,-1.344,0,7.846,2.47,1.775,112.244,9,10.316
NA,1.201,-2.374,0,7.393,9.95,0.892,115.197,10,17.343
NA,1.045,-2.212,0,7.079,11.895,0.75,111.176,6,18.974
NA,-1.003,2.146,0,7.828,1.02,1.271,114.733,8,8.848
NA,1.848,-3.575,0,7.073,12.476,2.61,111.768,11,19.549
NA,-0.667,1.282,0,7.115,14.65,1.453,125.328,19,21.765
NA,0.106,-0.216,0,7.64,18.063,1.576,118.999,2,25.703
NA,-0.422,0.806,1,7.321,14.364,1.192,134.761,11,21.685
NA,-0.122,0.239,0,7.189,11.732,1.212,108.434,6,18.921
NA,0.188,-0.391,1,7.394,14.865,1.021,119.701,5,22.259
NA,0.119,-0.231,1,7.862,12.77,0.648,128.686,9,20.632
NA,-0.025,0.045,0,7.348,11.24,1.448,116.107,6,18.588
NA,0.108,-0.223,0,7.001,11.136,2.165,106.418,11,18.137
NA,-0.485,0.893,0,7.911,13.879,0.032,106.956,9,21.791
NA,-0.504,0.94,0,7.952,9.413,0.414,113.752,8,17.365
NA,-1.661,2.821,0,7.491,9.855,0.07,123.164,3,17.346
NA,-0.382,0.796,0,7.464,7.798,0.316,119.253,6,15.262
NA,-0.513,1.038,0,7.596,6.109,0.531,99.031,3,13.706
NA,2.702,-5.529,1,7.906,12.336,0.01,109.098,12,20.242
NA,-1.362,2.839,0,7.173,18.446,2.007,113.937,5,25.619
NA,0.137,-0.274,0,7.786,6.357,0.434,103.793,4,14.143
